gene,c,coeff,pval,importance,group,scaled
ABL1,NSMCE2,0.109791704317138,0.006167014229426,0.06138218543731,ec,0.026633034477187463
ABL1,SWI5,-0.131414000149716,0.00102902739276,0.078356380754333,ec,0.03400227176742383
ACD,ANKRD28,0.125935453765519,0.001663708832343,0.040515890477727,ec,0.017574067259400156
ACD,CCND3,0.131278516804197,0.001041556751248,0.044337676018491,ec,0.019233270773692204
ACD,CDKN1A,0.188195896803618,2.32813036744568e-6,0.164809739679913,ec,0.07153543929387772
ACD,ERCC1,0.116109288798428,0.003762645455505,0.05203773176337,ec,0.022576200254134465
ACD,MDM2,0.185561587022156,3.23439638722418e-6,0.098559102344677,ec,0.042773152891816206
ACD,NIPBL,-0.129139243261969,0.001259005632255,0.047176990736293,ec,0.020465940924256555
ACD,NTHL1,-0.12933518230531,0.00123747431423,0.095295031963211,ec,0.0413560778126263
ACD,PIAS3,-0.128200536497996,0.00136702558965,0.053077103974539,ec,0.023027436988125653
ACD,PPP4R2,0.083945405678926,0.036493425187457,0.042549476996725,ec,0.018456935715243414
ACD,PPP6R1,0.128130665027102,0.001375397505279,0.04071474784382,ec,0.017660399900817393
ACD,PPP6R3,-0.16195208373496,5.02438812288884e-5,0.046171442896075,ec,0.02002938882250127
ACD,RAD9A,-0.156821092397504,8.69481177836327e-5,0.047869969001809,ec,0.020766792963495345
ACD,RDM1,-0.138710649863482,5.27363478221e-4,0.053880508352472,ec,0.023376229811021092
ACD,RPS27L,0.24747440339947,4.04938181668486e-10,0.178464386488529,ec,0.07746351603434896
ACD,TFPT,0.1770098481899,9.1110834084872e-6,0.068135719267327,ec,0.0295650375802225
ACD,TP73,-0.105117136048197,0.008754531257651,0.041563398767617,ec,0.018028836219431358
ACD,TRIP13,-0.131089034131102,0.001059316209069,0.047519737466484,ec,0.02061474220396712
ACD,USP48,0.068951600015368,0.086007154900049,0.038913784790901,ec,0.016878523420664086
ACTR5,ABL1,0.129964254387846,0.001170618860643,0.140842981399474,ec,0.06113042594581238
ACTR5,CCNH,0.108877739309408,0.006610974897734,0.088567592919748,ec,0.03843540359267309
ACTR5,RECQL,0.114679540319607,0.004216582310626,0.109944084288133,ec,0.04771586928687523
ACTR5,USP48,0.090276530741084,0.024465305975001,0.075229333270029,ec,0.032644684294245496
ACTR8,NHP2,-0.109458981952735,0.006325436076605,0.028735498205247,ec,0.012459686023259324
AKT1,GINS1,0.094277589677051,0.018779064821132,0.065415648363572,ec,0.028384136361539348
AKT1,NSMCE2,0.158728611315041,7.10505459225077e-5,0.096799466143888,ec,0.04200921819765726
AKT1,SLX1B,0.104385017703333,0.009237555368473,0.04662669538773,ec,0.020227033752073426
AKT1,SMC1A,0.121013453640186,0.002522144591063,0.050579407353956,ec,0.021943078128554942
ALKBH1,SMARCAL1,-0.008970308970714,0.823463078557927,0.039280098593851,ec,0.01703755619283446
ALKBH1,USP48,0.063728389047794,0.112622168618691,0.035896746048328,ec,0.015568695532354144
AMN1,EYA1,0.095627437392542,0.017140170094126,0.009646231101678,ec,0.004172203974444599
AMN1,HFM1,0.242639143673156,9.0040778799387e-10,0.009690004118923,ec,0.004191207747228132
AMN1,POLD4,-0.084954665176113,0.034291970331944,0.008209174227719,ec,0.0035483150120530385
AMN1,SMARCAD1,0.093110720492215,0.020304355654809,0.005254132525736,ec,0.0022654027385847547
AMN1,TIPRL,0.09334007694271,0.019996307522085,0.008379737158829,ec,0.0036223638072266926
ANKRD28,CDC25B,-0.099177278823541,0.013413260374332,0.007961963077804,ec,0.0034409898876220247
